Alue;Sukupuoli;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022

Eteläinen suurpiiri;Miehet;6289;6175;5967;5891;5861;5847;5838;5874;5849;5925;6093;6247;6363;6531;6767;7056;7379;7679;7953;8184;8431;8688;8890

Eteläinen suurpiiri;Naiset;5949;5824;5676;5624;5556;5579;5676;5690;5732;5739;5948;6154;6204;6417;6704;7005;7214;7504;7876;8164;8359;8487;8560;334

Läntinen suurpiiri;Miehet;9145;8981;8859;8670;8600;8430;8263;8244;8223;8210;8247;8163;8341;8332;8531;8660;8812;8876;9005;9105;9294;9323;9370;1665

Läntinen suurpiiri;Naiset;8960;8756;8643;8447;8346;8133;7999;7966;7862;7831;7885;7861;7862;7892;7996;8195;8310;8403;8537;8618;8714;8873;8963;1640

Keskinen suurpiiri;Miehet;3867;3730;3601;3578;3540;3530;3592;3535;3539;3605;3730;3867;4097;4323;4567;4686;4969;5133;5293;5312;5458;5614;5775;238

Keskinen suurpiiri;Naiset;3664;3554;3474;3406;3446;3470;3446;3390;3419;3517;3658;3801;3990;4181;4402;4582;4780;4942;5054;5130;5242;5430;5587;273

Pohjoinen suurpiiri;Miehet;4745;4623;4578;4532;4524;4506;4494;4380;4383;4383;4339;4355;4373;4396;4398;4422;4571;4620;4658;4650;4712;4746;4800;490

Pohjoinen suurpiiri;Naiset;4496;4450;4371;4306;4359;4337;4305;4226;4169;4167;4089;4052;4127;4124;4114;4199;4286;4325;4403;4368;4476;4514;4513;449

Koillinen suurpiiri;Miehet;10421;10319;10362;10383;10357;10274;10141;10087;9996;9945;9964;10043;9993;9975;10072;10200;10226;10376;10596;10658;10624;10671;10560;1921

Koillinen suurpiiri;Naiset;9956;9989;9975;9849;9903;9926;9868;9758;9574;9450;9477;9549;9519;9505;9630;9638;9685;9776;9837;9925;9976;9991;10029;1909

Kaakkoinen suurpiiri;Miehet;4843;4826;4933;4969;4907;4873;4797;4682;4584;4568;4547;4568;4572;4582;4602;4621;4707;4758;4852;4968;5065;5207;5321;34

Kaakkoinen suurpiiri;Naiset;4570;4518;4663;4705;4643;4620;4536;4477;4412;4389;4366;4394;4386;4418;4458;4512;4588;4670;4786;4943;5130;5279;5337;38

Itäinen suurpiiri;Miehet;10120;10499;10729;10900;10840;10873;10830;10847;10755;10770;10609;10468;10403;10584;10627;10771;10856;11062;11235;11305;11239;11185;11048;-1

Itäinen suurpiiri;Naiset;10042;10411;10474;10649;10553;10610;10640;10531;10512;10530;10494;10315;10286;10326;10312;10449;10527;10653;10828;10854;10823;10774;10744;-1

Östersundomin suurpiiri;Miehet;-1;-1;-1;-1;-1;-1;-1;-1;-1;402;393;379;380;376;334;313;300;289;257;234;225;213;186;-1

Östersundomin suurpiiri;Naiset;-1;-1;-1;-1;-1;-1;-1;-1;-1;371;374;367;366;351;345;322;307;288;265;248;222;206;202;-1
 
