Indikaattori,Sukupuoli,aidinkieli,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Ammattikorkeakoulutuksessa,Miehet,Suomi,17.9,17.6,17.9,17.3,16.5,16.1,16.5,15.9,15.9,16,15.8,16.5,16.7
Ammattikorkeakoulutuksessa,Miehet,Ruotsi,24.7,26.6,24.9,24.2,21.9,22.2,22.7,24.6,25.5,25.9,25.5,22.5,23.8
Ammattikorkeakoulutuksessa,Miehet,Muu,11.9,12.2,14.5,14.5,15.2,15.3,14.9,16.3,15.2,14,13.7,11.9,13.6
Ammattikorkeakoulutuksessa,Naiset,Suomi,21.6,21.2,20.9,20.3,20.1,19,18.8,18.1,17.6,17.4,17.8,18.1,18.3
Ammattikorkeakoulutuksessa,Naiset,Ruotsi,30.3,28.6,28.8,28.3,26.8,27.7,27.4,25.1,25,23.5,22.7,23.3,24.1
Ammattikorkeakoulutuksessa,Naiset,Muu,15.1,15.4,15.5,15.5,16.1,16.5,16.8,18,17.9,16.7,15.5,15.7,15.9
Yliopistokoulutuksessa,Miehet,Suomi,24.8,24.1,22.9,22.6,22.5,22.6,23.4,24.3,24.7,25.5,26.8,28.5,30.3
Yliopistokoulutuksessa,Miehet,Ruotsi,39.8,38.6,38.9,39.2,40.6,42.2,41,41.7,41.7,43.6,46.3,49.1,49.9
Yliopistokoulutuksessa,Miehet,Muu,10.2,11.3,10.4,11,10.1,9.7,9.2,8.4,7.9,8.1,8.7,10.6,11.7
Yliopistokoulutuksessa,Naiset,Suomi,31.7,30.6,29.7,28.4,27.9,27.9,28.5,29,30.6,32,33.7,35.8,37.6
Yliopistokoulutuksessa,Naiset,Ruotsi,44.6,45,44.7,45,43.3,42.3,43.3,43.8,46.8,50.1,53,55.3,53.3
Yliopistokoulutuksessa,Naiset,Muu,12.2,14.4,15.7,14.7,13.6,12.8,13.2,12.3,11.6,12.5,13.3,14.6,16.6
